Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
154,2009,6,3,10,True,0.145785877,61,28,12.9,3,10.0,54,14.0,29.9,24872
66,2009,3,7,16,True,0.399713467,52,28,6.3,2,10.0,67,14.0,30.07,15836
318,2008,11,13,22,False,1.090016367,60,28,6.0,0,10.0,87,8.0,30.1,0
40,2009,2,9,13,True,0.150706436,48,29,16.2,1,10.0,47,28.0,29.97,28891
56,2009,2,25,1,False,0.924332344,56,17,7.6,3,10.0,83,6.0,30.07,0
222,2009,8,10,16,True,0.272067715,73,30,10.3,2,10.0,55,20.0,29.91,17623
296,2008,10,22,22,False,0.922374429,68,14,2.7,0,10.0,57,0.0,30.05,0
12,2009,1,12,10,True,0.132879046,59,9,9.5,3,10.0,48,17.0,30.31,815
275,2008,10,1,22,False,0.851274788,66,29,7.8,3,10.0,84,9.0,29.95,0
182,2009,7,1,16,True,0.255656109,65,31,8.6,1,10.0,55,15.0,29.8,21784
119,2009,4,29,16,True,0.283110571,54,27,15.2,2,10.0,48,16.0,30.17,20125
31,2009,1,31,19,True,0.738287561,51,28,5.0,0,10.0,83,7.0,30.09,1
191,2009,7,10,1,False,0.770547945,61,28,14.6,3,10.0,83,9.0,29.98,0
256,2008,9,12,19,True,0.55126498,60,28,11.7,3,10.0,80,13.0,29.88,436
140,2009,5,20,22,False,0.68989547,57,27,12.3,1,10.0,80,8.0,29.92,0
308,2008,11,3,22,False,1.058730159,58,20,10.6,2,10.0,86,11.0,29.94,0
72,2009,3,13,19,True,0.563202247,52,27,11.5,2,10.0,83,14.0,30.07,277
68,2009,3,9,7,True,0.455192034,49,29,13.2,1,10.0,53,14.0,30.07,2292
170,2009,6,19,10,True,0.147688839,63,27,23.3,2,10.0,63,21.0,29.77,28536
237,2009,8,25,22,False,0.739622642,63,29,9.8,1,10.0,90,15.0,29.97,0
319,2008,11,14,1,False,0.973770492,66,10,6.5,0,10.0,90,3.0,30.1,0
326,2008,11,21,7,True,0.395309883,55,28,6.6,1,10.0,80,3.0,30.16,523
68,2009,3,9,19,True,0.568990043,49,29,13.2,0,10.0,63,16.0,30.13,244
61,2009,3,2,19,True,0.667638484,57,19,20.8,4,10.0,75,26.0,29.89,0
107,2009,4,17,13,True,0.063989962,57,28,12.1,3,10.0,42,14.0,30.21,32802
81,2009,3,22,13,True,0.059945504,49,29,22.1,2,10.0,54,26.0,30.21,20678
333,2008,11,28,4,False,0.710884354,53,24,3.9,4,10.0,83,3.0,30.22,0
